                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5813,                 3.9414,                   4.25,                0.00412,                 0.3803,                0.01414,                0.00261,                 3.6262,                 3.8734,                  4.162,             0.00054641,             0.00054641,             0.00054641
                      2,                 3.7378,                  3.799,                  4.275,                0.00493,                0.40497,                0.00697,                0.00179,                 3.6122,                 3.9895,                  4.185,              0.0010966,              0.0010966,              0.0010966
                      3,                 3.4296,                 3.8001,                 4.1818,                0.52941,                0.00877,                0.00831,                0.00194,                 3.5647,                  5.258,                    4.3,              0.0016413,              0.0016413,              0.0016413
                      4,                 3.4666,                 3.6415,                 4.1579,                0.00684,                0.07858,                 0.0034,                0.00079,                 3.9307,                 34.805,                 11.461,              0.0016422,              0.0016422,              0.0016422
                      5,                 3.7122,                 3.6046,                 4.0877,                0.00141,                0.08059,                0.00074,                0.00019,                 4.1849,                  782.9,                 40.563,               0.001634,               0.001634,               0.001634
                      6,                 3.3614,                 3.4919,                 4.0347,                 0.0029,                0.10106,                 0.0016,                0.00058,                  4.127,                 2913.7,                 52.089,              0.0016257,              0.0016257,              0.0016257
                      7,                 3.2813,                 3.3607,                 3.9745,                0.00111,                0.08918,                 0.0007,                0.00017,                 4.4882,                 7201.5,                 39.134,              0.0016175,              0.0016175,              0.0016175
                      8,                 3.3396,                  3.387,                 3.8885,                0.00111,                0.08918,                 0.0007,                0.00017,                 4.4882,                 7201.5,                 39.134,              0.0016092,              0.0016092,              0.0016092
                      9,                 3.3117,                 3.3678,                 3.7956,                0.00087,                0.06122,                 0.0006,                 0.0001,                 4.7018,                 5676.6,                 46.325,               0.001601,               0.001601,               0.001601
                     10,                 3.2002,                 3.3056,                 3.7441,                0.00193,                0.05903,                0.00117,                0.00034,                  5.027,                 2556.6,                 52.717,              0.0015927,              0.0015927,              0.0015927
                     11,                 3.2113,                 3.3756,                 3.6521,                0.00075,                0.06268,                0.00044,                0.00012,                 4.4892,                 2530.6,                 40.004,              0.0015845,              0.0015845,              0.0015845
                     12,                 3.1384,                 3.2258,                 3.6315,                0.00291,                0.00694,                0.00054,                0.00011,                 4.9223,                   1135,                  21.57,              0.0015762,              0.0015762,              0.0015762
                     13,                 2.9803,                 3.1841,                 3.5446,                0.00193,                0.02083,                0.00025,                  8e-05,                 4.6548,                 1345.6,                 17.006,               0.001568,               0.001568,               0.001568
                     14,                 3.0769,                 3.0832,                 3.4825,                0.00431,                0.01389,                 0.0004,                0.00013,                 4.2082,                 828.71,                 13.111,              0.0015597,              0.0015597,              0.0015597
                     15,                 3.0132,                 3.1077,                 3.4286,                0.00485,                0.01389,                0.00048,                0.00017,                 3.7735,                 627.98,                 8.7402,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.9526,                 2.9747,                 3.3019,                 0.0044,                0.01736,                0.00229,                0.00095,                  3.742,                 487.21,                 7.3729,              0.0015432,              0.0015432,              0.0015432
                     17,                 2.8352,                 2.9124,                 3.3681,                0.00541,                0.02083,                0.00216,                0.00055,                 3.3925,                  32.85,                  4.156,               0.001535,               0.001535,               0.001535
                     18,                 2.7386,                 2.8584,                 3.2974,                 0.0396,                0.14675,                0.01774,                0.00443,                 3.0982,                 7.2544,                 3.5035,              0.0015267,              0.0015267,              0.0015267
