                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.338,                 5.1761,                 4.0448,                0.00046,                0.17778,                 0.0035,                0.00073,                 6.0959,                 4.3945,                 4.2707,             0.00047157,             0.00047157,             0.00047157
                      2,                 5.6881,                 4.5913,                 4.0876,                0.00289,                0.04001,                0.00121,                0.00032,                 4.7595,                 18.197,                 4.3578,             0.00094321,             0.00094321,             0.00094321
                      3,                 5.3732,                  4.396,                 3.9253,                0.00386,                0.08436,                0.00199,                0.00057,                 4.1944,                    inf,                 10.387,              0.0014101,              0.0014101,              0.0014101
                      4,                 5.2954,                 4.1106,                 3.7596,                0.00148,                0.06346,                0.00086,                0.00027,                 4.4915,                    inf,                 17.502,              0.0014078,              0.0014078,              0.0014078
                      5,                 5.0859,                   3.88,                    3.6,                0.00091,                0.14718,                0.00057,                0.00018,                 4.8321,                    inf,                 15.196,              0.0014007,              0.0014007,              0.0014007
                      6,                  4.868,                 3.7068,                 3.5835,                0.00156,                0.21849,                0.00119,                0.00035,                  4.812,                    inf,                 9.7927,              0.0013936,              0.0013936,              0.0013936
                      7,                 4.7765,                 3.5284,                 3.4046,                0.00209,                0.18452,                0.00136,                0.00033,                 4.5188,                 200.07,                 6.0823,              0.0013866,              0.0013866,              0.0013866
                      8,                 4.7181,                 3.4707,                 3.3441,                 0.0024,                0.14704,                 0.0015,                0.00033,                 4.5129,                 140.01,                  5.172,              0.0013795,              0.0013795,              0.0013795
                      9,                 4.5434,                 3.3961,                  3.254,                0.00564,                0.02831,                 0.0028,                0.00059,                 3.9895,                 19.085,                 3.7703,              0.0013724,              0.0013724,              0.0013724
                     10,                 4.4058,                 3.3547,                 3.2404,                0.00813,                0.01441,                0.00309,                 0.0007,                 3.9535,                 7.8111,                 3.2814,              0.0013653,              0.0013653,              0.0013653
                     11,                  4.182,                 3.1789,                 3.1315,                0.00723,                0.05794,                0.00275,                0.00069,                 4.2638,                 5.2895,                 3.0457,              0.0013583,              0.0013583,              0.0013583
                     12,                  4.206,                 3.0987,                 3.0549,                0.00599,                0.07341,                0.00207,                 0.0005,                 4.6024,                 6.7043,                 3.5903,              0.0013512,              0.0013512,              0.0013512
                     13,                 3.9987,                 2.9779,                 2.9965,                0.01104,                0.09028,                0.00449,                0.00106,                 4.3066,                 5.1915,                 3.4466,              0.0013441,              0.0013441,              0.0013441
                     14,                 3.9927,                 2.9442,                 2.9446,                0.02814,                0.02515,                0.00893,                 0.0021,                 3.9475,                 2.6888,                  2.879,               0.001337,               0.001337,               0.001337
                     15,                 4.0027,                 2.9933,                 2.9243,                0.00795,                0.13113,                0.01377,                0.00341,                 4.0976,                 2.6559,                 2.9285,                0.00133,                0.00133,                0.00133
                     16,                 3.8983,                 2.7684,                 2.8473,                0.37513,                0.02729,                 0.0145,                0.00317,                 3.9114,                 2.5072,                 2.8556,              0.0013229,              0.0013229,              0.0013229
                     17,                 3.8776,                  2.728,                 2.8106,                0.71543,                0.03128,                0.01825,                0.00432,                 3.8257,                 2.4248,                  2.806,              0.0013158,              0.0013158,              0.0013158
                     18,                 3.7814,                 2.6482,                 2.7806,                0.71105,                0.04974,                0.02414,                0.00581,                 3.6588,                 2.3728,                 2.7318,              0.0013087,              0.0013087,              0.0013087
                     19,                 3.7393,                 2.6651,                 2.7649,                0.04507,                0.05274,                0.02406,                  0.006,                 3.5778,                 2.3441,                 2.7088,              0.0013017,              0.0013017,              0.0013017
                     20,                 3.6637,                 2.5957,                 2.7393,                0.05053,                0.05121,                 0.0274,                0.00709,                 3.4972,                 2.3337,                 2.6723,              0.0012946,              0.0012946,              0.0012946
                     21,                 3.6261,                 2.5834,                 2.7154,                0.71964,                0.08402,                  0.055,                0.01613,                 3.3205,                 2.1945,                 2.5815,              0.0012875,              0.0012875,              0.0012875
                     22,                 3.7275,                 2.5623,                 2.7435,                0.71988,                0.09966,                 0.0521,                0.01438,                 3.2538,                 2.1499,                 2.5621,              0.0012805,              0.0012805,              0.0012805
                     23,                 3.5938,                 2.5166,                 2.6743,                0.39256,                0.15319,                0.04411,                0.01139,                 3.2616,                 2.3215,                 2.5561,              0.0012734,              0.0012734,              0.0012734
                     24,                  3.484,                 2.5145,                  2.637,                0.40094,                 0.1393,                0.04451,                0.01185,                 3.1902,                 2.2707,                 2.5233,              0.0012663,              0.0012663,              0.0012663
                     25,                 3.4242,                 2.4836,                 2.6344,                0.73615,                0.10488,                0.05727,                0.01537,                 3.1077,                 2.1379,                 2.4971,              0.0012592,              0.0012592,              0.0012592
                     26,                 3.3304,                  2.452,                 2.6301,                0.72982,                 0.0969,                0.05321,                0.01475,                 3.0993,                 2.0926,                 2.4863,              0.0012522,              0.0012522,              0.0012522
                     27,                  3.287,                 2.3699,                 2.5777,                0.72005,                0.15578,                 0.0699,                0.02026,                 2.9931,                 2.0215,                 2.4412,              0.0012451,              0.0012451,              0.0012451
                     28,                 3.4182,                 2.3472,                 2.5517,                0.47324,                 0.1429,                0.09589,                0.02896,                 3.0427,                 2.1168,                 2.4632,               0.001238,               0.001238,               0.001238
                     29,                 3.3107,                 2.3693,                 2.5061,                0.43379,                0.19856,                0.08842,                 0.0276,                 2.9677,                 2.0837,                 2.4274,              0.0012309,              0.0012309,              0.0012309
                     30,                 3.2019,                 2.3631,                 2.4834,                0.43761,                0.22656,                0.08852,                0.02502,                 2.9412,                 2.0814,                 2.4232,              0.0012239,              0.0012239,              0.0012239
                     31,                 3.1672,                 2.2662,                 2.4598,                0.45708,                0.20709,                0.09293,                0.02557,                 2.9088,                 2.0003,                 2.3931,              0.0012168,              0.0012168,              0.0012168
                     32,                 3.2692,                 2.3783,                 2.4649,                0.45177,                0.24127,                0.10055,                0.03155,                 2.8726,                 2.0299,                 2.3611,              0.0012097,              0.0012097,              0.0012097
                     33,                 3.0831,                 2.2127,                 2.4116,                0.44788,                0.25093,                0.10773,                0.03494,                 2.8542,                 2.0441,                 2.3534,              0.0012026,              0.0012026,              0.0012026
                     34,                 3.1408,                 2.3112,                 2.4202,                 0.4542,                0.25154,                 0.1106,                0.03628,                  2.803,                 2.0374,                 2.3284,              0.0011956,              0.0011956,              0.0011956
                     35,                 3.1097,                 2.2798,                 2.4003,                0.46009,                0.28485,                0.13848,                0.04504,                 2.7796,                 2.1317,                 2.3332,              0.0011885,              0.0011885,              0.0011885
                     36,                 2.9437,                 2.1832,                  2.369,                0.50041,                0.24229,                0.15253,                0.04766,                 2.7043,                 1.9495,                 2.2912,              0.0011814,              0.0011814,              0.0011814
                     37,                 3.0141,                 2.2469,                 2.3674,                0.47777,                0.19522,                0.12778,                0.04386,                 2.5715,                  1.761,                 2.2337,              0.0011744,              0.0011744,              0.0011744
