                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9568,                 3.5321,                 4.2502,                0.00393,                      1,                0.03718,                0.01165,                 2.6503,                 2.8468,                 4.2317,             0.00054556,             0.00054556,             0.00054556
                      2,                 2.9465,                  3.443,                 4.1987,                0.00345,                      1,                0.05506,                0.01628,                 3.2749,                 3.2709,                 4.8374,              0.0010958,              0.0010958,              0.0010958
                      3,                 2.9924,                 3.4545,                 4.1598,                0.00244,                   0.72,                0.00433,                0.00076,                 4.4319,                 4.0686,                  6.025,              0.0016405,              0.0016405,              0.0016405
                      4,                  2.961,                 3.3326,                 4.0863,                0.00024,                0.05333,                0.00013,                  5e-05,                  4.678,                 168.25,                 7.4159,              0.0016422,              0.0016422,              0.0016422
                      5,                  2.747,                 3.2436,                 3.9829,                  4e-05,                   0.02,                  2e-05,                  1e-05,                 4.1807,                 337.21,                 16.278,               0.001634,               0.001634,               0.001634
                      6,                 2.8126,                 3.2202,                 3.8843,                  4e-05,                   0.02,                  2e-05,                  1e-05,                 4.1807,                 337.21,                 16.278,              0.0016257,              0.0016257,              0.0016257
                      7,                 2.7218,                 3.1497,                 3.8152,                0.00018,                0.05667,                 0.0001,                  3e-05,                 4.0647,                  553.6,                 23.888,              0.0016175,              0.0016175,              0.0016175
                      8,                 2.8154,                 3.0716,                 3.7265,                 0.0098,                    0.1,                0.00716,                0.00345,                  3.831,                 59.133,                 21.321,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.8335,                 3.1438,                  3.702,                0.00267,                   0.38,                 0.0028,                0.00161,                 3.7922,                 276.52,                 30.375,               0.001601,               0.001601,               0.001601
                     10,                  2.597,                 3.1289,                 3.6196,                0.00214,                    0.4,                0.00234,                0.00107,                  3.481,                 413.37,                 25.174,              0.0015927,              0.0015927,              0.0015927
                     11,                 2.6765,                 3.0045,                 3.5693,                0.00096,                   0.36,                0.00104,                0.00058,                 3.4942,                    inf,                 24.345,              0.0015845,              0.0015845,              0.0015845
                     12,                 2.6264,                 2.9735,                 3.4447,                0.00164,                    0.4,                0.00176,                0.00085,                  3.519,                 498.13,                 12.275,              0.0015762,              0.0015762,              0.0015762
                     13,                 2.6684,                 2.8627,                 3.4443,                0.00164,                    0.4,                0.00176,                0.00085,                  3.519,                 498.13,                 12.275,               0.001568,               0.001568,               0.001568
                     14,                 2.4939,                 2.9534,                 3.3349,                0.00154,                   0.34,                0.00159,                0.00077,                 3.3594,                 391.96,                 8.7071,              0.0015597,              0.0015597,              0.0015597
                     15,                  2.456,                 2.7927,                 3.2925,                0.00369,                   0.28,                0.00385,                0.00201,                 3.1213,                  95.66,                 6.0503,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.3914,                 2.9417,                 3.2657,                0.00266,                0.78667,                0.00279,                0.00134,                 2.9401,                 78.437,                 6.1284,              0.0015432,              0.0015432,              0.0015432
                     17,                 2.4282,                 2.8491,                 3.2691,                0.08333,                0.01667,                0.01058,                0.00596,                 2.8452,                 38.864,                 5.7977,               0.001535,               0.001535,               0.001535
                     18,                 2.4785,                 2.7118,                 3.2078,                0.07895,                   0.15,                0.04102,                0.02195,                 2.1404,                 100.42,                  3.939,              0.0015267,              0.0015267,              0.0015267
                     19,                 2.2455,                 2.7493,                 3.1615,                0.16428,                   0.32,                0.20807,                0.11422,                  1.931,                 12.474,                 3.1367,              0.0015185,              0.0015185,              0.0015185
                     20,                 2.2386,                 2.7267,                 3.0586,                0.16428,                   0.32,                0.20807,                0.11422,                  1.931,                 12.474,                 3.1367,              0.0015102,              0.0015102,              0.0015102
                     21,                 2.2171,                 2.6783,                 3.1062,                0.13788,                   0.23,                0.08405,                0.03981,                 2.5961,                 3.7168,                 3.8811,               0.001502,               0.001502,               0.001502
                     22,                 2.1787,                  2.602,                 3.0118,                0.23582,                   0.29,                0.23611,                0.11887,                 2.2231,                 4.6759,                 3.3423,              0.0014937,              0.0014937,              0.0014937
                     23,                 2.1553,                 2.5593,                 2.9696,                0.20595,                0.35913,                0.24566,                0.14392,                  2.217,                 3.7117,                 3.2349,              0.0014855,              0.0014855,              0.0014855
                     24,                 2.0951,                 2.5026,                 2.9472,                0.19189,                   0.32,                0.19905,                0.12063,                 2.1782,                 3.3977,                 3.1613,              0.0014772,              0.0014772,              0.0014772
                     25,                 2.0159,                  2.441,                 2.8892,                0.31671,                0.37752,                 0.2617,                0.16793,                 1.8166,                 2.8161,                 2.9299,               0.001469,               0.001469,               0.001469
