                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7471,                 5.1677,                 4.0103,                0.00075,                0.17857,                0.00072,                0.00028,                 4.8947,                 4.7758,                 4.1499,                0.00062,                0.00062,                0.00062
                      2,                 4.4486,                 4.7779,                 3.9098,                0.00075,                0.17857,                0.00072,                0.00024,                 4.9214,                 4.8547,                 4.1737,              0.0012538,              0.0012538,              0.0012538
                      3,                 4.3268,                 4.7703,                 3.7468,                0.00075,                0.17857,                0.00072,                0.00024,                 4.9214,                 4.8547,                 4.1737,              0.0018812,              0.0018812,              0.0018812
                      4,                 4.1765,                 4.5656,                 3.7738,                0.00089,                0.17857,                0.00148,                0.00042,                 4.9542,                  4.738,                  4.209,              0.0019703,              0.0019703,              0.0019703
                      5,                 4.6478,                 4.7189,                 4.0804,                0.00089,                0.17857,                0.00148,                0.00042,                 4.9542,                  4.738,                  4.209,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.9678,                 5.2061,                 3.6315,                0.00143,                0.07143,                0.00073,                0.00037,                  5.357,                 4606.6,                 21.456,              0.0019505,              0.0019505,              0.0019505
                      7,                 4.0398,                  4.731,                  3.831,                0.00143,                0.07143,                0.00073,                0.00037,                  5.357,                 4606.6,                 21.456,              0.0019406,              0.0019406,              0.0019406
                      8,                 3.8465,                 4.8739,                 3.4034,                0.00136,                0.14286,                0.00059,                 0.0002,                 4.4447,                  12254,                  58.62,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.9051,                 4.2739,                 3.7754,                0.00136,                0.14286,                0.00059,                 0.0002,                 4.4447,                  12254,                  58.62,              0.0019208,              0.0019208,              0.0019208
                     10,                 3.6751,                 4.3913,                  3.522,                0.00136,                0.14286,                0.00059,                 0.0002,                 2.2956,                 5.5868,                 8.9874,              0.0019109,              0.0019109,              0.0019109
                     11,                 3.2384,                  4.403,                 3.1788,                0.00136,                0.14286,                0.00059,                 0.0002,                 2.2956,                 5.5868,                 8.9874,               0.001901,               0.001901,               0.001901
                     12,                 3.3591,                 4.4002,                 3.2254,                0.00537,                0.03571,                0.00047,                0.00026,                 5.4021,                 10.889,                 20.887,              0.0018911,              0.0018911,              0.0018911
                     13,                  3.141,                 4.1043,                  3.249,                0.00537,                0.03571,                0.00047,                0.00026,                 5.4021,                 10.889,                 20.887,              0.0018812,              0.0018812,              0.0018812
                     14,                  3.048,                 4.0693,                 3.2453,                0.01005,                0.07143,                0.00185,                0.00041,                 5.0997,                 10.789,                 10.505,              0.0018713,              0.0018713,              0.0018713
                     15,                 3.2958,                 3.8272,                 3.5126,                0.01005,                0.07143,                0.00185,                0.00041,                 5.0997,                 10.789,                 10.505,              0.0018614,              0.0018614,              0.0018614
                     16,                 3.1089,                 3.9603,                 3.3628,                 0.0013,                0.42857,                0.00141,                0.00031,                 3.8798,                 4.8116,                 5.2658,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.7381,                 3.9564,                 2.8766,                 0.0013,                0.42857,                0.00141,                0.00031,                 3.8798,                 4.8116,                 5.2658,              0.0018416,              0.0018416,              0.0018416
                     18,                  2.789,                 3.7023,                 3.1928,                0.00839,                0.14286,                0.00384,                0.00073,                 3.6765,                 4.2136,                 3.7772,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.8176,                 3.6881,                 3.0565,                0.00839,                0.14286,                0.00384,                0.00073,                 3.6765,                 4.2136,                 3.7772,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.5709,                 3.5394,                  3.206,                0.00512,                0.03571,                0.00109,                0.00026,                  4.317,                 19.978,                 5.4146,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.8222,                 3.7303,                 2.9338,                0.00512,                0.03571,                0.00109,                0.00026,                  4.317,                 19.978,                 5.4146,               0.001802,               0.001802,               0.001802
                     22,                 2.8748,                 3.7072,                  3.273,                 0.0087,                0.17857,                0.00467,                0.00119,                 3.7086,                 14.213,                 4.3302,              0.0017921,              0.0017921,              0.0017921
                     23,                  2.691,                 3.9152,                 2.7587,                 0.0087,                0.17857,                0.00467,                0.00119,                 3.7086,                 14.213,                 4.3302,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.8178,                 3.5455,                  3.194,                0.21522,                0.17857,                 0.1898,                0.05424,                 2.7437,                 3.2547,                 3.1856,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.5389,                 3.3546,                 2.9238,                0.21522,                0.17857,                 0.1898,                0.05424,                 2.7437,                 3.2547,                 3.1856,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.8963,                 3.4316,                 3.0243,                0.27517,                    0.5,                0.27937,                0.08206,                 2.5277,                 5.1732,                 3.2277,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.7889,                 3.8744,                 2.8654,                0.27517,                    0.5,                0.27937,                0.08206,                 2.5277,                 5.1732,                 3.2277,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.4801,                 3.7282,                 2.7912,                0.01382,                0.32143,                0.01087,                0.00308,                 3.1372,                 3.8084,                 3.1263,              0.0017327,              0.0017327,              0.0017327
                     29,                  2.564,                 3.6164,                 2.7753,                0.01382,                0.32143,                0.01087,                0.00308,                 3.1372,                 3.8084,                 3.1263,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.3678,                 3.4124,                 2.5114,                0.29913,                0.35714,                0.23509,                0.07293,                 2.4925,                  2.945,                 2.7505,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.5335,                 3.4638,                 3.1365,                0.29913,                0.35714,                0.23509,                0.07293,                 2.4925,                  2.945,                 2.7505,               0.001703,               0.001703,               0.001703
                     32,                  2.445,                 3.5241,                 2.8895,                0.11118,                0.17857,                0.07599,                0.01836,                 2.5764,                 3.7364,                 2.9069,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.4085,                 3.4559,                 2.9125,                0.11118,                0.17857,                0.07599,                0.01836,                 2.5764,                 3.7364,                 2.9069,              0.0016832,              0.0016832,              0.0016832
                     34,                 3.0038,                 3.5455,                 3.2043,                0.37752,                    0.5,                0.38554,                0.14326,                 2.3804,                   8.75,                 2.9904,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.2868,                 3.3165,                 2.6881,                0.37752,                    0.5,                0.38554,                0.14326,                 2.3804,                   8.75,                 2.9904,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.3884,                 3.5358,                 2.6939,                0.30582,                0.47215,                0.26147,                0.09229,                 2.3177,                 4.5716,                 2.6168,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.3749,                  3.393,                 2.6169,                0.30582,                0.47215,                0.26147,                0.09229,                 2.3177,                 4.5716,                 2.6168,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.6595,                 3.4657,                 2.6631,                 0.3067,                0.26895,                0.19838,                0.06615,                 2.4909,                 2.7649,                 2.4896,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.5729,                 3.3003,                 2.8439,                 0.3067,                0.26895,                0.19838,                0.06615,                 2.4909,                 2.7649,                 2.4896,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.2643,                 3.3136,                 2.5855,                0.38301,                0.39286,                0.36771,                0.09438,                 2.3565,                 2.8146,                 2.4928,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.4869,                 3.0372,                  2.653,                0.38301,                0.39286,                0.36771,                0.09438,                 2.3565,                 2.8146,                 2.4928,               0.001604,               0.001604,               0.001604
