                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8848,                 5.0136,                 4.0912,                0.00066,                0.15854,                0.00156,                0.00034,                 5.7257,                 4.2708,                 4.2398,             0.00047204,             0.00047204,             0.00047204
                      2,                 5.3048,                  4.808,                 4.1058,                0.00337,                0.02765,                 0.0014,                0.00036,                 4.1491,                  157.6,                 6.0246,             0.00094368,             0.00094368,             0.00094368
                      3,                 5.0586,                 4.4468,                  3.945,                0.00112,                0.02749,                0.00059,                0.00013,                 4.4536,                 348.52,                 10.434,              0.0014106,              0.0014106,              0.0014106
                      4,                 4.7795,                  4.181,                 3.8763,                0.00228,                0.05699,                0.00122,                0.00028,                 4.1646,                    inf,                 7.3961,              0.0014078,              0.0014078,              0.0014078
                      5,                 4.6006,                 4.1493,                 3.6835,                0.00198,                0.05153,                0.00107,                0.00022,                  4.326,                    inf,                  7.407,              0.0014007,              0.0014007,              0.0014007
                      6,                 4.4679,                 3.8843,                 3.5957,                0.00185,                0.03025,                0.00099,                 0.0002,                 4.7794,                    inf,                 8.9391,              0.0013936,              0.0013936,              0.0013936
                      7,                 4.3758,                 3.7267,                 3.4919,                0.00254,                0.05514,                0.00148,                0.00048,                 4.5292,                    inf,                 8.4424,              0.0013866,              0.0013866,              0.0013866
                      8,                  4.212,                 3.6329,                   3.37,                0.00831,                0.16797,                0.00549,                0.00188,                  4.016,                    inf,                 7.0072,              0.0013795,              0.0013795,              0.0013795
                      9,                 4.1059,                 3.5416,                 3.2732,                0.00858,                0.17861,                0.00733,                 0.0025,                 3.8639,                 156.15,                  5.936,              0.0013724,              0.0013724,              0.0013724
                     10,                 4.0031,                 3.3622,                 3.1896,                0.00757,                 0.2178,                0.00695,                0.00228,                 3.8608,                 13.418,                  4.079,              0.0013653,              0.0013653,              0.0013653
                     11,                 3.9347,                 3.1714,                 3.1226,                0.00959,                 0.2595,                0.00845,                0.00215,                 3.8399,                 22.355,                 4.0136,              0.0013583,              0.0013583,              0.0013583
                     12,                 3.9526,                 3.1317,                 3.0637,                 0.0087,                0.08072,                0.00678,                0.00141,                  4.005,                 33.489,                 4.1255,              0.0013512,              0.0013512,              0.0013512
                     13,                 3.9261,                 3.0759,                  2.999,                0.01756,                0.03514,                0.00624,                0.00136,                 4.2016,                 16.826,                 3.4968,              0.0013441,              0.0013441,              0.0013441
                     14,                 3.8547,                 2.9657,                 2.9988,                0.02689,                0.04792,                0.01317,                0.00271,                 4.0028,                 17.221,                  3.436,               0.001337,               0.001337,               0.001337
                     15,                 3.6979,                 2.7869,                 2.9124,                0.04519,                 0.0694,                0.02523,                0.00519,                 3.7417,                 3.2941,                 3.2216,                0.00133,                0.00133,                0.00133
                     16,                 3.6708,                 2.8531,                 2.8862,                0.40455,                0.10102,                0.05362,                0.01215,                 3.4464,                 2.4432,                 2.7921,              0.0013229,              0.0013229,              0.0013229
                     17,                 3.5503,                 2.8077,                 2.8532,                0.05588,                0.09546,                 0.0328,                0.00837,                 3.2796,                 2.6623,                 2.7439,              0.0013158,              0.0013158,              0.0013158
                     18,                 3.4822,                 2.7797,                 2.8429,                0.05957,                0.08687,                0.04923,                0.01233,                 3.1828,                 2.4942,                 2.7102,              0.0013087,              0.0013087,              0.0013087
                     19,                 3.4455,                 2.7061,                 2.7625,                0.08023,                0.12054,                0.05189,                0.01353,                  3.146,                 2.5381,                 2.6504,              0.0013017,              0.0013017,              0.0013017
                     20,                 3.4759,                 2.7081,                  2.737,                0.40341,                0.11989,                0.05267,                0.01371,                 3.1282,                 2.5788,                  2.635,              0.0012946,              0.0012946,              0.0012946
                     21,                  3.345,                 2.7108,                 2.7548,                0.41029,                0.16768,                0.05399,                0.01373,                 3.1527,                 2.8608,                  2.643,              0.0012875,              0.0012875,              0.0012875
                     22,                 3.2213,                 2.6554,                  2.695,                0.06931,                0.22946,                0.06117,                0.01557,                 3.1801,                 2.7764,                  2.667,              0.0012805,              0.0012805,              0.0012805
                     23,                  3.266,                 2.5471,                 2.6418,                0.40781,                0.11484,                 0.0562,                0.01566,                 3.0679,                 2.5757,                 2.6412,              0.0012734,              0.0012734,              0.0012734
                     24,                 3.2217,                 2.6486,                 2.5951,                0.39002,                0.14347,                0.04892,                0.01329,                 3.1103,                 2.5402,                 2.6834,              0.0012663,              0.0012663,              0.0012663
                     25,                 3.1944,                 2.4788,                  2.601,                0.07522,                0.16786,                0.06178,                 0.0167,                 3.0421,                 2.5962,                 2.6209,              0.0012592,              0.0012592,              0.0012592
                     26,                 3.1655,                 2.5346,                 2.5629,                0.05718,                0.30408,                0.05666,                0.01714,                 2.8802,                 5.1096,                 2.5132,              0.0012522,              0.0012522,              0.0012522
                     27,                 3.1145,                 2.5663,                 2.6095,                0.05996,                0.30477,                0.06066,                0.01906,                 2.8752,                 5.2559,                 2.5039,              0.0012451,              0.0012451,              0.0012451
                     28,                 3.0401,                 2.4944,                 2.5156,                0.16047,                 0.3829,                0.10015,                 0.0287,                 2.8435,                 4.6227,                 2.4533,               0.001238,               0.001238,               0.001238
                     29,                 3.0227,                 2.4014,                 2.5156,                0.13233,                0.27679,                0.08581,                0.02515,                 2.9479,                  5.071,                 2.5575,              0.0012309,              0.0012309,              0.0012309
                     30,                 3.0235,                 2.3857,                 2.4872,                0.14471,                0.22812,                 0.0902,                 0.0283,                 2.8572,                   3.28,                  2.497,              0.0012239,              0.0012239,              0.0012239
                     31,                 2.9414,                 2.3092,                 2.4647,                0.17548,                0.16966,                0.08571,                0.02347,                 3.0556,                 3.4092,                 2.6079,              0.0012168,              0.0012168,              0.0012168
                     32,                 2.9227,                 2.3318,                 2.4724,                0.15621,                0.21069,                0.09592,                 0.0283,                 2.8647,                 3.3465,                 2.4761,              0.0012097,              0.0012097,              0.0012097
                     33,                 2.8743,                 2.4995,                 2.4222,                0.11908,                0.26443,                0.10627,                0.03082,                 2.7528,                 3.0002,                 2.3906,              0.0012026,              0.0012026,              0.0012026
                     34,                 2.9053,                 2.3354,                 2.4282,                0.15045,                0.26952,                0.10003,                0.03013,                  2.808,                 3.7021,                 2.4295,              0.0011956,              0.0011956,              0.0011956
                     35,                 2.7742,                 2.1853,                 2.4112,                0.12633,                0.29374,                0.09411,                0.02901,                 2.8921,                 4.1852,                 2.4815,              0.0011885,              0.0011885,              0.0011885
                     36,                 2.7734,                 2.2484,                 2.3748,                0.14049,                0.36553,                0.12743,                0.04064,                  2.739,                  4.556,                 2.3832,              0.0011814,              0.0011814,              0.0011814
                     37,                 2.7378,                  2.199,                 2.3405,                0.14743,                0.33318,                0.12449,                 0.0391,                 2.7402,                 3.4258,                 2.3963,              0.0011744,              0.0011744,              0.0011744
                     38,                 2.8122,                 2.2879,                 2.3425,                0.17031,                0.34338,                0.14049,                0.04292,                 2.7155,                 2.7794,                 2.3804,              0.0011673,              0.0011673,              0.0011673
                     39,                 2.7502,                  2.178,                 2.2934,                0.21646,                0.38822,                0.18661,                0.06177,                 2.5438,                 2.3429,                 2.2951,              0.0011602,              0.0011602,              0.0011602
                     40,                 2.7227,                 2.1448,                  2.278,                0.16835,                0.38501,                0.13973,                 0.0431,                 2.6902,                 3.0928,                 2.4321,              0.0011531,              0.0011531,              0.0011531
                     41,                  2.683,                 2.1512,                 2.3113,                0.13665,                0.35996,                0.10811,                0.03071,                 2.9259,                 4.2529,                 2.5528,              0.0011461,              0.0011461,              0.0011461
                     42,                 2.7287,                 2.1592,                 2.3047,                0.14382,                0.43672,                0.12432,                0.03644,                 2.8481,                 4.4068,                 2.4322,               0.001139,               0.001139,               0.001139
                     43,                 2.5404,                 2.0571,                 2.3062,                 0.0631,                0.30562,                0.06722,                0.01892,                 3.5014,                 10.405,                 2.7961,              0.0011319,              0.0011319,              0.0011319
                     44,                 2.5396,                 2.0086,                 2.2247,                0.14348,                0.41946,                0.12396,                0.03653,                 2.7956,                 4.4978,                 2.3995,              0.0011248,              0.0011248,              0.0011248
                     45,                 2.4545,                 2.0968,                 2.2807,                0.10692,                0.52783,                0.14407,                0.04333,                 2.6922,                 6.1083,                 2.3229,              0.0011178,              0.0011178,              0.0011178
                     46,                 2.5416,                 2.0246,                 2.1953,                0.08013,                0.51958,                0.12114,                0.03881,                 2.8796,                 8.0335,                 2.4463,              0.0011107,              0.0011107,              0.0011107
                     47,                 2.5359,                 2.0363,                 2.1885,                0.19464,                0.54836,                0.19454,                0.06687,                 2.4431,                  3.867,                 2.2274,              0.0011036,              0.0011036,              0.0011036
                     48,                 2.4328,                 2.0055,                 2.1659,                0.37576,                0.06765,                0.08955,                0.03046,                 3.2696,                 18.723,                 2.6941,              0.0010965,              0.0010965,              0.0010965
                     49,                 2.4263,                  1.921,                 2.1338,                0.12147,                 0.1087,                0.06501,                0.02789,                 3.5492,                 53.679,                 2.7898,              0.0010895,              0.0010895,              0.0010895
                     50,                 2.4494,                 1.9968,                 2.1472,                0.00016,                0.03571,                  7e-05,                  2e-05,                 4.4393,                 328.43,                 3.3476,              0.0010824,              0.0010824,              0.0010824
                     51,                 2.4488,                 1.9758,                 2.1582,                0.13917,                0.14907,                0.08839,                0.03449,                 3.3149,                 44.652,                 2.6669,              0.0010753,              0.0010753,              0.0010753
                     52,                 2.4155,                 1.8793,                 2.0559,                0.66779,                0.02381,                0.08482,                0.05026,                 3.7191,                 132.17,                 2.8834,              0.0010682,              0.0010682,              0.0010682
                     53,                 2.3769,                 1.9388,                 2.1048,                0.16072,                0.07693,                 0.0851,                0.03225,                 3.6431,                 66.665,                  2.819,              0.0010612,              0.0010612,              0.0010612
                     54,                 2.4296,                 1.9786,                 2.1238,                0.16952,                 0.0899,                0.08799,                0.03804,                 3.7556,                 71.915,                 2.8812,              0.0010541,              0.0010541,              0.0010541
                     55,                 2.4085,                 1.8694,                 2.0388,                0.08831,                0.50192,                0.13744,                0.04959,                  2.764,                 6.7655,                 2.3987,               0.001047,               0.001047,               0.001047
                     56,                 2.2997,                 1.8587,                 2.0631,                0.06593,                0.50758,                0.10698,                0.03377,                 2.8199,                 5.6629,                 2.4341,                0.00104,                0.00104,                0.00104
                     57,                 2.2893,                 1.7848,                 2.0514,                0.15261,                0.43842,                0.13181,                0.04105,                 2.8182,                 6.0799,                 2.4305,              0.0010329,              0.0010329,              0.0010329
                     58,                 2.3043,                 1.7801,                 1.9953,                0.10063,                0.13085,                0.06563,                0.02207,                 3.5561,                 32.447,                 2.9521,              0.0010258,              0.0010258,              0.0010258
                     59,                 2.3008,                 1.7721,                  2.024,                0.06354,                0.49194,                0.15856,                 0.0544,                 2.8119,                 5.9121,                 2.4803,              0.0010187,              0.0010187,              0.0010187
                     60,                 2.1967,                 1.6942,                 1.9846,                0.02268,                0.02787,                0.00633,                0.00442,                 4.0238,                 91.782,                 3.2339,              0.0010117,              0.0010117,              0.0010117
                     61,                 2.2145,                 1.7191,                 2.0129,                0.07356,                0.35224,                0.09998,                 0.0364,                 2.9156,                 11.867,                 2.5853,              0.0010046,              0.0010046,              0.0010046
